cycleNumber, x, Tf, Ts , Tf* , Ts*,status, sigma, d, u_f, Re, Pr, Nu_fs,h_fs,h, hv, hv_f, hv_s, alpha_f, alpha_s,ex_d_out,ex_d_in,ex_c_out,ex_c_in, eta, Q_charged, Q_discharged,Q_max,capacity_factor
2,0.0,872.909497474456,872.9093249730648,872.9094974499214,872.909324898484,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.1,872.8571246174187,872.8569692023797,872.8571245953223,872.8569691351557,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.2,872.7575834160792,872.7574222092862,872.7575833931581,872.7574221395616,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.30000000000000004,872.6091134968883,872.608928533278,872.6091134705872,872.6089284532866,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.4,872.4044995974009,872.4042809103811,872.4044995663032,872.4042808158099,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.5,872.1335027784613,872.1332442742458,872.133502741701,872.1332441624579,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.6000000000000001,871.7840352068305,871.7837324805708,871.7840351637814,871.7837323496607,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.7000000000000001,871.3426722781307,871.3423217405406,871.3426722282824,871.3423215889558,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.8,870.7948999445573,870.7944985105801,870.794899887471,870.7944983369866,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
2,0.9,870.125267680083,870.1248126913943,870.1252676153807,870.1248124946426,1,0.01,4.684583261346903E-7,0.1,0.837536121673004,7646.219230769229,11.159159077770239,193.42542401468415,149.9261347401809,17991.136168821708,0.016207879874822122,0.012814199550442811,4.6845832613469043E-7,1.4245014245014244E-6,0.0,0.0,8847218.775170557,5.778804698770436E10,0.7180929023076756,1.5685939005462943E11,2.9075589905361786E10,4.294558939996918E11,0.23316426115998276
