x, Tf, Ts , Tf* , Ts*
0.0,873.0,742.9402248780677,872.9999999765658,742.9402248304749
0.01,872.9882829100817,742.9349367801691,872.9884000809795,742.9349367400406
0.02,872.976565163518,742.925189963439,872.9766823409817,742.9251899300676
0.03,872.9648464263078,742.9117352099287,872.9649636136774,742.9117351825366
0.04,872.9531264243255,742.8952368943771,872.9532436243425,742.8952368722078
0.05,872.9414049357354,742.8762753129208,872.941522150618,742.8762752952473
0.06,872.9296817837004,742.8553500084892,872.9297990152171,742.8553499946244
0.07,872.9179568295294,742.8328841772062,872.9180740790673,742.8328841665125
0.08,872.90622996628,742.8092301501379,872.9063472349085,742.8092301420353
0.09,872.8945011129407,742.7846758321512,872.89461840147,742.7846758261244
0.1,872.8827702092839,742.7594518708621,872.8828875183162,742.7594518664641
0.11,872.8710372114015,742.7337392476568,872.8711545413761,742.7337392445097
0.12,872.8593020878865,742.7076769438428,872.8594194391173,742.7076769416351
0.13,872.847564816763,742.6813693439634,872.8476821894699,742.6813693424455
0.14,872.8358253829473,742.6548930875692,872.8359427772812,742.6548930865462
0.15,872.8240837763128,742.6283031594935,872.8242011923749,742.6283031588173
0.16,872.8123399902054,742.6016380975879,872.8124574280621,742.6016380971491
0.17,872.8005940203483,742.5749242841717,872.8007114800425,742.5749242838917
0.18,872.7888458640526,742.548179358377,872.7889633456113,742.5481793582006
0.19,872.7770955196592,742.5214148380369,872.7772130230986,742.5214148379266
0.2,872.7653429861913,742.494638068439,872.7654605115215,742.4946380683699
0.21,872.7535882630731,742.4678536249307,872.7537058102998,742.4678536248867
0.22,872.7418313499828,742.4410642916737,872.7419489191093,742.4410642916446
0.23,872.7300722467455,742.4142717238001,872.7301898377734,742.4142717237796
0.24,872.7183109532732,742.387476882971,872.7184285662034,742.3874768829554
0.25,872.7065474695272,742.3606803152147,872.7066651043602,742.3606803152019
0.26,872.6947817954957,742.3338823237799,872.6948994522317,742.3338823237685
0.27,872.6830139311821,742.3070830733257,872.6831316098209,742.3070830733151
0.28,872.671243876597,742.2802826514294,872.6713615771384,742.2802826514193
0.29,872.659471631757,742.2534811037815,872.659589354201,742.2534811037716
0.3,872.6476971966788,742.2266784535572,872.6478149410251,742.2266784535474
0.31,872.6359205713811,742.199874712345,872.6360383376297,742.1998747123353
0.32,872.6241417558828,742.1730698863298,872.6242595440333,742.17306988632
0.33,872.6123607502027,742.1462639781627,872.6124785602551,742.1462639781529
0.34,872.6005775543601,742.1194569892757,872.6006953863141,742.119456989266
0.35000000000000003,872.5887921683768,742.0926489204359,872.5889100222322,742.0926489204262
0.36,872.5770045922714,742.0658397722806,872.5771224680279,742.0658397722709
0.37,872.5652148260627,742.0390295452105,872.5653327237204,742.0390295452008
0.38,872.5534228697712,742.0122182395066,872.5535407893298,742.012218239497
0.39,872.541628723416,741.9854058554308,872.5417466648752,741.9854058554212
0.4,872.5298323870184,741.9585923932935,872.5299503503779,741.9585923932839
0.41000000000000003,872.5180338605967,741.9317778533274,872.5181518458564,741.9317778533177
0.42,872.5062331441712,741.9049622358131,872.506351151331,741.9049622358034
0.43,872.4944302377622,741.8781455410115,872.4945482668219,741.8781455410018
0.44,872.4826251413897,741.8513277691657,872.482743192349,741.851327769156
0.45,872.4708178550737,741.8245089205329,872.4709359279325,741.8245089205233
0.46,872.4590083788341,741.797688995375,872.459126473592,741.7976889953653
0.47000000000000003,872.4471967126915,741.770867993942,872.4473148293484,741.7708679939324
0.48,872.4353828566658,741.7440459165,872.4355009952217,741.7440459164903
0.49,872.4235668107757,741.7172227632923,872.4236849712302,741.7172227632826
0.5,872.4117485750426,741.6903985345821,872.4118667573955,741.6903985345724
0.51,872.3999281494864,741.66357323064,872.4000463537376,741.6635732306304
0.52,872.388105534128,741.6367468517327,872.3882237602772,741.636746851723
0.53,872.3762807289876,741.6099193981038,872.3763989770346,741.6099193980941
0.54,872.3644537340848,741.5830908700036,872.3645720040294,741.583090869994
0.55,872.3526245494403,741.5562612676919,872.3527428412823,741.5562612676822
