x, Tf, Ts , Tf* , Ts*
0.0,873.0,816.649971406034,872.9999999898467,816.6499713819268
0.01,872.9949233889697,816.6472928260193,872.9949741550794,816.647292805287
0.02,872.9898464250613,816.642310641641,872.9898971946993,816.6423106240346
0.03,872.9847689320557,816.6353721958162,872.9848197069844,816.6353721809761
0.04,872.9796907614415,816.626784847845,872.979741543146,816.6267848354003
0.05,872.9746117886793,816.6168147573251,872.9746625784052,816.6168147469449
0.06,872.9695319099101,816.6056913181862,872.9695827086958,816.6056913095906
0.07,872.9644510391214,816.5936128086834,872.9645018478271,816.593612801631
0.08,872.9593691057729,816.58075070733,872.9594199251042,816.5807507016051
0.09,872.9542860526032,816.5672525053005,872.9543368831324,816.5672525007056
0.1,872.9492018336747,816.5532437574618,872.9492526758615,816.5532437538166
0.11,872.9441164125354,816.538829981738,872.9441672667443,816.53882997888
0.12,872.9390297606398,816.524098649982,872.9390806271562,816.5240986477676
0.13,872.9339418558736,816.5091212766536,872.9339927349188,816.5091212749581
0.14,872.9288526813082,816.4939555266834,872.9289035730512,816.4939555254008
0.15,872.9237622241686,816.4786472581055,872.9238131287374,816.4786472571466
0.16,872.9186704749108,816.4632324345627,872.9187213924007,816.4632324338539
0.17,872.913577426497,816.4477388655413,872.9136283569785,816.4477388650233
0.18,872.9084830737984,816.4321877506936,872.9085340173227,816.432187750319
0.19,872.903387413122,816.416595019532,872.9034383697261,816.4165950192636
0.2,872.8982904418381,816.4009724682694,872.8983414115482,816.4009724680785
0.21,872.8931921580929,816.3853287047698,872.8932431409278,816.3853287046346
0.22,872.8880925605874,816.369669917869,872.8881435565598,816.3696699177733
0.23,872.8829916484275,816.3540004913219,872.8830426575465,816.3540004912537
0.24,872.8778894209831,816.3383234842328,872.8779404432549,816.3383234841834
0.25,872.872785877817,816.3226409993473,872.872836913246,816.3226409993108
0.26,872.8676810186232,816.3069544606666,872.8677320672125,816.3069544606386
0.27,872.8625748431785,816.2912648179656,872.8626259049304,816.2912648179433
0.28,872.8574673513176,816.275572695301,872.8575184262336,816.2755726952823
0.29,872.8523585429116,816.2598784963878,872.8524096309931,816.2598784963715
0.3,872.8472484178534,816.2441824792104,872.8472995191014,816.2441824791955
0.31,872.8421369760515,816.2284848055447,872.842188090467,816.2284848055307
0.32,872.8370242174237,816.2127855768979,872.8370753450074,816.2127855768845
0.33,872.8319101418934,816.1970848514379,872.8319612826461,816.1970848514247
0.34,872.8267947493863,816.1813826669967,872.8268459033087,816.1813826669838
0.35000000000000003,872.8216780398304,816.1656790488382,872.8217292069234,816.1656790488255
0.36,872.8165600131554,816.1499740095943,872.8166111934195,816.1499740095816
0.37,872.8114406692923,816.1342675494932,872.8114918627283,816.1342675494805
0.38,872.8063200081702,816.1185596755125,872.8063712147789,816.1185596754999
0.39,872.8011980297204,816.1028503930784,872.8012492495022,816.1028503930658
0.4,872.7960747338734,816.0871397027618,872.7961259668292,816.0871397027491
0.41000000000000003,872.7909501205602,816.0714276051101,872.7910013666907,816.0714276050975
0.42,872.7858241897115,816.0557141003338,872.7858754490175,816.0557141003212
0.43,872.7806969412569,816.0399991885608,872.7807482137389,816.0399991885482
