x, Tf, Ts , Tf* , Ts*
0.0,873.0,560.3136836563793,873.0,560.3136836563793
1.0E-4,872.9457929708897,560.2374881444757,872.9458869708529,560.2374881444757
2.0E-4,872.8915746832721,560.1611641025626,872.8916687027587,560.1611641025626
3.0000000000000003E-4,872.8373451395057,560.0848438855135,872.8374391785115,560.0848438855135
4.0E-4,872.7831043419525,560.008527496678,872.7831984004733,560.008527496678
5.0E-4,872.728852292974,559.9322149391882,872.7289463710059,559.9322149391882
6.000000000000001E-4,872.6745889949298,559.8559062160965,872.6746830924686,559.8559062160965
7.0E-4,872.6203144501821,559.7796013306936,872.6204085672238,559.7796013306936
8.0E-4,872.5660286610939,559.7033002857736,872.5661227976343,559.7033002857736
9.000000000000001E-4,872.5117316300281,559.627003084773,872.511825786063,559.627003084773
0.001,872.4574233593456,559.5507097307749,872.4575175348712,559.5507097307749
0.0011,872.403103851418,559.474420226941,872.4031980464299,559.474420226941
0.0012000000000000001,872.3487731086063,559.3981345762486,872.3488673231005,559.3981345762486
0.0013000000000000002,872.2944311332784,559.3218527819552,872.2945253672508,559.3218527819552
0.0014,872.2400779277996,559.2455748472402,872.2401721812462,559.2455748472402
0.0015,872.1857134945373,559.1693007751799,872.1858077674539,559.1693007751799
0.0016,872.1313378358606,559.093030568893,872.131432128243,559.093030568893
0.0017000000000000001,872.0769509541386,559.0167642313735,872.0770452659829,559.0167642313735
0.0018000000000000002,872.0225528517408,558.940501766098,872.0226471830427,558.940501766098
0.0019,871.9681435310378,558.8642431758807,871.9682378817932,558.8642431758807
0.002,871.9137229943971,558.7879884639391,871.913817364602,558.7879884639391
0.0021000000000000003,871.8592912441923,558.7117376335741,871.8593856338426,558.7117376335741
0.0022,871.8048482827967,558.6354906876901,871.8049426918882,558.6354906876901
0.0023,871.750394112581,558.5592476295652,871.7504885411097,558.5592476295652
0.0024000000000000002,871.6959287359201,558.4830084622434,871.6960231838818,558.4830084622434
0.0025,871.6414521551875,558.4067731888393,871.6415466225781,558.4067731888393
0.0026000000000000003,871.5869643727601,558.3305418124331,871.5870588595754,558.3305418124331
0.0027,871.5324653910117,558.2543143363755,871.5325598972477,558.2543143363755
0.0028,871.4779552123184,558.1780907635999,871.478049737971,558.1780907635999
0.0029000000000000002,871.4234338390568,558.1018710973378,871.4235283841217,558.1018710973378
0.003,871.3689012736053,558.0256553406277,871.3689958380785,558.0256553406277
0.0031000000000000003,871.3143575183419,557.9494434965843,871.3144521022193,557.9494434965843
0.0032,871.2598025756448,557.8732355684821,871.2598971789222,557.8732355684821
0.0033,871.2052364478944,557.797031559275,871.2053310705677,557.797031559275
0.0034000000000000002,871.1506591374725,557.7208314722785,871.1507537795376,557.7208314722785
0.0035,871.0960706467579,557.6446353103614,871.0961653082106,557.6446353103614
0.0036000000000000003,871.0414709781319,557.5684430769234,871.0415656589681,557.5684430769234
0.0037,870.9868601339791,557.4922547748721,870.9869548341948,557.4922547748721
0.0038,870.9322381166824,557.4160704073773,870.9323328362733,557.4160704073773
0.0039000000000000003,870.8776049286236,557.3398899776511,870.8776996675856,557.3398899776511
0.004,870.8229605721888,557.2637134887269,870.8230553305178,557.2637134887269
0.0041,870.7683050497562,557.187540943781,870.7683998274481,557.187540943781
0.004200000000000001,870.7136383637212,557.1113723458296,870.7137331607718,557.1113723458296
0.0043,870.6589605164655,557.0352076981782,870.6590553328707,557.0352076981782
0.0044,870.604271510376,556.959047003815,870.6043663461315,556.959047003815
0.0045000000000000005,870.549571347839,556.8828902658323,870.5496662029409,556.8828902658323
0.0046,870.4948600312459,556.8067374875801,870.4949549056901,556.8067374875801
0.0047,870.4401375629847,556.7305886717882,870.4402324567668,556.7305886717882
0.0048000000000000004,870.3854039454449,556.6544438219091,870.3854988585608,556.6544438219091
0.0049,870.3306591810182,556.57830294093,870.3307541134639,556.57830294093
0.005,870.2759032720937,556.5021660319524,870.275998223865,556.5021660319524
0.0051,870.2211362210641,556.4260330981242,870.2212311921568,556.4260330981242
0.005200000000000001,870.1663580303212,556.3499041426012,870.1664530207313,556.3499041426012
0.0053,870.1115687022574,556.2737791685037,870.1116637119806,556.2737791685037
0.0054,870.056768239267,556.1976581787892,870.056863268299,556.1976581787892
0.0055000000000000005,870.0019566437426,556.1215411766774,870.0020516920796,556.1215411766774
0.0056,869.9471339180812,556.0454281653344,869.9472289857189,556.0454281653344
0.0057,869.8923000646781,555.9693191479125,869.8923951516123,555.9693191479125
0.0058000000000000005,869.8374550859296,555.893214127328,869.8375501921562,555.893214127328
0.0059,869.7825989842324,555.8171131068589,869.7826941097472,555.8171131068589
0.006,869.7277317619858,555.7410160895733,869.7278269067846,555.7410160895733
0.0061,869.672853421587,555.6649230786185,869.6729485856657,555.6649230786185
0.006200000000000001,869.6179639654345,555.5888340770205,869.6180591487889,555.5888340770205
0.0063,869.5630633959281,555.5127490879344,869.5631585985541,555.5127490879344
0.0064,869.5081517154692,555.4366681145655,869.5082469373626,555.4366681145655
0.006500000000000001,869.4532289264587,555.3605911598199,869.4533241676154,555.3605911598199
0.0066,869.3982950312972,555.2845182270463,869.3983902917129,555.2845182270463
0.0067,869.3433500323883,555.2084493191726,869.343445312059,555.2084493191726
0.0068000000000000005,869.2883939321348,555.132384439379,869.2884892310562,555.132384439379
0.006900000000000001,869.2334267329398,555.0563235906739,869.2335220511079,555.0563235906739
0.007,869.1784484372072,554.9802667763531,869.1785437746177,554.9802667763531
0.0071,869.1234590473433,554.9042139993365,869.123554403992,554.9042139993365
