x, Ts, Tf
0.0,293.0,873.0
0.01,417.62008878092234,872.9464969131499
0.02,499.9829125158219,872.9026761716144
0.03,553.0668339598482,872.8650962522618
0.04,586.3281264247107,872.8314270940044
0.05,606.5321254045181,872.8001338250665
0.06,618.3992013827283,872.7702364133979
0.07,625.1225177009426,872.7411301683699
0.08,628.7864645444964,872.7124554194161
0.09,630.6994047854907,872.684006301218
0.1,631.6491404066495,872.6556695638159
0.11,632.0900144089964,872.6273853737132
0.12,632.272796094652,872.5991233818637
0.13,632.3299101305065,872.570868810229
0.14,632.3282712382286,872.5426147494231
0.15,632.3002472375626,872.5143580965396
0.16,632.2608354866258,872.4860975125152
0.17,632.2166972756811,872.4578324417796
0.18,632.1706712979042,872.4295626626745
0.19,632.12391925702,872.4012880902027
0.2,632.0768981405323,872.373008693132
0.21,632.0297809170071,872.34472446058
0.22,631.9826306396485,872.3164353890847
0.23,631.9354694672867,872.2881414777917
0.24,631.8883049146144,872.2598427267312
0.25,631.8411394434205,872.2315391362222
0.26,631.7939738337396,872.2032307066767
0.27,631.7468083251421,872.1749174385334
0.28,631.6996429893127,872.1465993322428
0.29,631.6524778474909,872.1182763882523
0.3,631.6053129062419,872.089948607016
0.31,631.5581481679831,872.0616159889857
0.32,631.5109836339996,872.0332785346125
0.33,631.4638193052809,872.0049362443496
0.34,631.4166551827395,871.9765891186479
0.35000000000000003,631.3694912672628,871.948237157961
0.36,631.3223275597347,871.9198803627415
0.37,631.2751640610405,871.8915187334414
0.38,631.2280007720661,871.8631522705151
0.39,631.1808376936945,871.8347809744147
0.4,631.1336748268095,871.8064048455922
0.41000000000000003,631.0865121722937,871.7780238845033
0.42,631.03934973103,871.7496380916001
0.43,630.9921875039041,871.7212474673357
0.44,630.9450254918,871.6928520121656
0.45,630.8978636956027,871.6644517265421
0.46,630.8507021161936,871.6360466109195
0.47000000000000003,630.803540754451,871.6076366657522
0.48,630.7563796112645,871.5792218914945
0.49,630.7092186875177,871.5508022886006
0.5,630.6620579840952,871.5223778575266
0.51,630.6148975018764,871.4939485987236
0.52,630.5677372417439,871.4655145126495
0.53,630.5205772045864,871.43707559976
0.54,630.4734173912815,871.408631860508
0.55,630.4262578027152,871.3801832953476
0.56,630.3790984397706,871.3517299047369
0.5700000000000001,630.3319393033311,871.3232716891309
0.58,630.2847803942769,871.2948086489849
0.59,630.2376217134961,871.2663407847546
0.6,630.1904632618663,871.2378680968955
0.61,630.1433050402758,871.2093905858648
0.62,630.0961470496032,871.1809082521182
0.63,630.0489892907325,871.1524210961113
0.64,630.0018317645442,871.123929118301
0.65,629.9546744719247,871.095432319145
0.66,629.9075174137578,871.0669306990992
0.67,629.8603605909256,871.0384242586199
0.68,629.8132040043075,871.0099129981651
0.6900000000000001,629.7660476547798,870.9813969181915
0.7000000000000001,629.7188915432063,870.9528760191569
0.71,629.6717356703837,870.924350301518
0.72,629.6245800368622,870.8958197657327
0.73,629.5774246422408,870.8672844122581
0.74,629.5302694826215,870.8387442415524
0.75,629.4831145415783,870.8101992540695
0.76,629.4359597592505,870.7816494502583
0.77,629.3888049299102,870.7530948305425
0.78,629.341649374012,870.7245353952667
0.79,629.2944909245663,870.695971144522
0.8,629.2473229063389,870.6674020776111
0.81,629.2001254658044,870.6388281915089
0.8200000000000001,629.1528416365396,870.610249476498
0.8300000000000001,629.1053138709254,870.5816659043531
0.84,629.0571226057895,870.5530773975668
0.85,629.007192990561,870.5244837523742
0.86,628.9528787505272,870.4958844541752
0.87,628.8879247927987,870.467278253627
0.88,628.7981492286709,870.4386622355672
0.89,628.6527379035663,870.4100298653514
0.9,628.3875791603413,870.3813670777091
0.91,627.8750261890369,870.3526448138084
0.92,626.8719854198522,870.323805460679
0.93,624.9357082111303,870.2947393992476
0.9400000000000001,621.2948217981572,870.26524640306
0.9500000000000001,614.6627604861145,870.2349751214493
0.96,602.9821842205735,870.2033325400431
0.97,583.0913609141811,870.169354251186
0.98,550.3042880513867,870.131525395979
0.99,497.8914364790656,870.0875175717332
1.0,416.432961006189,869.9186315663135
1.01,293.0,293.0
