cycleNumber, x, Tf, Ts , Tf* , Ts*, sigma, d, u_f, Re, Pr, Nu_fs, hv, hv_f, hv_s, alpha_f, alpha_s,ex_d_out,ex_d_in,ex_c_out,ex_c_in, eta, Q_charged, Q_discharged
3,0.0,435.50649803242555,796.2140594434401,435.5037771932352,796.2140476749795,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.01,433.9416969136546,795.3879135131268,433.93897689692227,795.3879091322672,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.02,432.3731529426099,794.254231231885,432.37043556950533,794.2542301092931,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.03,430.8061192831272,793.0417430011348,430.80340503729616,793.0417427461177,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.04,429.24088824117763,791.8113525706266,429.23817725159205,791.8113524805273,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.05,427.67753477819815,790.5746371672745,427.6748271072667,790.5746371017391,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.06,426.1160949884791,789.3333211720254,426.1133906888519,789.3333211096499,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.07,424.5565992492301,788.087626417508,424.5538983723508,788.0876263556391,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.08,422.9990772284367,786.8375884720867,422.9963798255885,786.8375884104478,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.09,421.44355849988517,785.583223469229,421.44086462229757,785.5832234077963,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.1,419.8900726061657,784.3245458874752,419.8873823050223,784.3245458262485,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
3,0.11,418.33864906344854,783.0615701918931,418.3359623898862,783.0615701308742,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,2.5064050281537825E8,61022.47453727475,2196809.0834609135,1.444700171431223E10,0.02164998249929789,6.082412845680574E19,2.8527208458345252E18
