cycleNumber, x, Tf, Ts , Tf* , Ts*, sigma, d, u_f, Re, Pr, Nu_fs, hv, hv_f, hv_s, alpha_f, alpha_s,ex_d_out,ex_d_in,ex_c_out,ex_c_in, eta, Q_charged, Q_discharged,Q_max,capacity_factor
1,0.0,293.2079820169153,294.22783431075686,293.2079750703624,294.227834249739,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.01,293.20398693562873,294.22355085600503,293.20398000659304,294.2235508098222,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.02,293.1999911652925,294.21602536789163,293.199984273112,294.21602533337324,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.03,293.1960165891602,294.20607668943836,293.19600974833554,294.20607666399496,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.04,293.19207160574314,294.1943418824236,293.1920648269944,294.1943418639862,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.05,293.1881624029763,294.1813127692091,293.1881556941046,294.18131275613587,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.06,293.18429348408046,294.1673659152068,293.1842868506517,294.1673659062044,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.07,293.1804680622327,294.15278709076745,293.1804615081162,294.15278708482504,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.08,293.1766883714055,294.1377911093445,293.17668189919493,294.13779110567896,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.09,293.1729559093193,294.1225378082676,293.17294952065896,294.1225378062779,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.1,293.1692716256683,294.10714482596217,293.1692653215035,294.10714482519137,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.11,293.1656360666135,294.09169773280763,293.16562984738056,294.09169773291234,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.12,293.1620494845913,294.07625798992143,293.16204335036076,294.07625799064635,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.13,293.1585119208624,294.0608691384528,293.15850587144536,294.06086913961053,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.14,293.15502326687806,294.0455615599374,293.1550173019041,294.04556156139205,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.15,293.1515833093428,294.0303560942202,293.1515774283168,294.0303560958744,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.16,293.1481917628882,294.01526675430307,293.14818596523054,294.0152667560883,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.17,293.1448482934537,294.00030273607615,293.1448425785292,294.00030273794465,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.18,293.1415525347812,293.9854698850829,293.1415469019187,293.98546988700195,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.19,293.13830409989356,293.9707717511856,293.1382985483996,293.9707717531332,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.2,293.135102588953,293.95621033520007,293.1350971181211,293.95621033716145,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.21,293.1319475945721,293.94178660913764,293.1319422036889,293.9417866111033,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.22,293.1288387053441,293.92750087277653,293.12883339369307,293.9275008747403,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.23,293.125775508139,293.9133529940335,293.1257702750034,293.91335299599154,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.24,293.1227575895986,293.8993425681806,293.1227524342628,293.89934257013044,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.25,293.1197845370618,293.8854690215556,293.1197794588125,293.88546902349583,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.26,293.1168559391575,293.8717316779202,293.1168509372842,293.8717316798499,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.27,293.1139713861566,293.85812980018653,293.113966459952,293.8581298021052,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
1,0.28,293.11113047018466,293.84466261616683,293.1111256189449,293.84466261807427,-0.0017340917748081865,4.684583261346904E-6,-0.017340917748081865,0.14523644996979043,7646.219230769229,3.470133536441943,6620.548852159443,0.005964329294952998,0.004715490635441199,4.6845832613469043E-7,1.4245014245014244E-6,3.137545429661326E8,1037382.0671096543,2196809.0834609135,1.444700171431223E10,0.0,2.02747131180388E19,1.20841263730482355E18,1.1452157173325114E9,1.6648654216119274E10
