x, Tf, Ts , Tf* , Ts*
0.0,873.0,866.6944278799873,872.9999999988638,866.6944278764737
0.01,872.9994319187067,866.6940374760269,872.9994375995195,866.6940374728916
0.02,872.998863781607,866.6932987144368,872.998869462978,866.6932987116584
0.03,872.9982955608845,866.6922512460261,872.9983012430914,866.6922512435749
0.04,872.9977272320152,866.6909314262622,872.9977329153037,866.690931424107
0.05,872.9971587734211,866.6893721401218,872.9971644580068,866.6893721382327
0.06,872.996590166206,866.6876029537241,872.9965958522779,866.6876029520741
0.07,872.9960213938597,866.6856504367454,872.9960270815828,866.6856504353104
0.08,872.9954524420241,866.6835384852208,872.9954581315421,866.6835384839791
0.09,872.9948832982645,866.6812885678276,872.9948889897017,866.6812885667588
0.1,872.9943139519014,866.6789199016324,872.9943196453646,866.6789199007176
0.11,872.9937443937828,866.6764495918363,872.9937500893635,866.6764495910577
0.12,872.993174616122,866.6738927641161,872.9931803138982,866.6738927634569
0.13,872.9926046123293,866.6712627025987,872.9926103123668,866.6712627020439
0.14,872.9920343768562,866.668570994918,872.9920400792105,866.6685709944536
0.15,872.9914639050623,866.6658276814002,872.9914696097799,866.6658276810135
0.16,872.9908931930852,866.6630414041736,872.9908989002045,866.6630414038534
0.17,872.9903222377275,866.6602195529892,872.9903279472805,866.6602195527256
0.18,872.9897510363572,866.6573684049181,872.9897567483705,866.6573684047021
0.19,872.9891795868208,866.6544932563742,872.9891853013157,866.6544932561981
0.2,872.9886078873644,866.6515985463668,872.9886136043585,866.651598546224
0.21,872.9880359365658,866.6486879697574,872.9880416560733,866.6486879696421
0.22,872.9874637332792,866.6457645811035,872.9874694553116,866.6457645810108
0.23,872.9868912765854,866.6428308878458,872.9868970011519,866.6428308877714
0.24,872.9863185657478,866.6398889338619,872.9863242928557,866.6398889338025
0.25,872.9857456001796,866.6369403732839,872.9857513298348,866.6369403732364
0.26,872.9851723794147,866.6339865352736,872.985178111622,866.6339865352356
0.27,872.9845989030689,866.631028479743,872.9846046378318,866.6310284797127
0.28,872.984025170858,866.6280670464566,872.9840309081795,866.6280670464322
0.29,872.9834511825461,866.6251028945048,872.9834569224287,866.625102894485
0.3,872.9828769379429,866.6221365393704,872.9828826803883,866.6221365393542
0.31,872.9823024368943,866.6191683781086,872.9823081819043,866.6191683780951
0.32,872.9817276792737,866.6161987179912,872.9817334268494,866.6161987179798
0.33,872.9811526649751,866.6132277917033,872.9811584151175,866.6132277916935
0.34,872.9805773939095,866.6102557757969,872.9805831466196,866.6102557757882
0.35000000000000003,872.9800018659986,866.6072828029876,872.9800076212771,866.6072828029799
0.36,872.9794260811743,866.6043089709286,872.979431839022,866.6043089709216
0.37,872.9788500393735,866.6013343526615,872.978855799791,866.6013343526549
0.38,872.9782737405421,866.5983590010585,872.9782795035298,866.5983590010522
0.39,872.9776971846171,866.5953829538727,872.9777029501757,866.5953829538666
0.4,872.9771203715552,866.5924062359046,872.9771261396852,866.5924062358987
0.41000000000000003,872.9765433013014,866.5894288615575,872.9765490720033,866.5894288615517
0.42,872.9759659738093,866.5864508372433,872.9759717470836,866.5864508372374
