x, Tf, Ts , Tf* , Ts*
0.0,873.0,872.9212354356,872.9999999999858,872.9212354355408
0.01,872.9999929037932,872.9212288487915,872.9999929747553,872.921228848737
0.02,872.9999858065784,872.9212162007973,872.9999858775506,872.9212162007473
0.03,872.9999787078556,872.921197997684,872.9999787788428,872.9211979976383
0.04,872.9999716071759,872.9211747156718,872.9999716781826,872.9211747156301
0.05,872.9999645041134,872.9211467999025,872.9999645751441,872.9211467998646
0.06,872.9999573982867,872.9211146649418,872.999957469345,872.9211146649072
0.07,872.9999502893546,872.921078695914,872.9999503604439,872.9210786958828
0.08,872.9999431770116,872.9210392498828,872.999943248135,872.9210392498545
0.09,872.9999360609596,872.9209966580036,872.9999361321202,872.920996657978
0.1,872.9999289409548,872.9209512268584,872.9999290121548,872.9209512268354
0.11,872.9999218167555,872.92090323998,872.9999218879975,872.9209032399593
0.12,872.9999146881672,872.920852958433,872.9999147594531,872.9208529584145
0.13,872.999907554993,872.9208006221982,872.9999076263248,872.9208006221817
0.14,872.999900417079,872.9207464510024,872.9999004884581,872.9207464509877
0.15,872.9998932742669,872.9206906455537,872.999893345695,872.9206906455406
0.16,872.9998861264376,872.9206333879721,872.9998861979159,872.9206333879605
0.17,872.9998789734747,872.9205748438447,872.9998790450043,872.9205748438345
0.18,872.9998718152642,872.920515162431,872.9998718868463,872.920515162422
0.19,872.9998646517266,872.9204544785433,872.999864723362,872.9204544785354
0.2,872.999857482781,872.9203929126129,872.9998575544704,872.920392912606
0.21,872.9998503083556,872.9203305723654,872.9998503800998,872.9203305723593
0.22,872.999843128389,872.9202675545041,872.9998432001887,872.9202675544988
0.23,872.999835942828,872.920203943628,872.9998360146836,872.9202039436234
0.24,872.9998287516254,872.9201398145224,872.9998288235374,872.9201398145183
0.25,872.9998215547406,872.9200752331363,872.9998216267095,872.9200752331328
0.26,872.9998143521378,872.9200102562146,872.9998144241639,872.9200102562115
0.27,872.9998071437859,872.919944933484,872.9998072158694,872.9199449334812
0.28,872.9997999296565,872.9198793036121,872.9998000017979,872.9198793036097
0.29,872.9997927097269,872.9198134028732,872.9997927819262,872.919813402871
0.3,872.9997854839804,872.9197472563451,872.9997855562378,872.919747256343
0.31,872.9997782524001,872.9196808808423,872.999778324716,872.9196808808404
0.32,872.9997710149527,872.9196142863937,872.9997710873272,872.9196142863917
0.33,872.9997637716274,872.9195474729783,872.9997638440607,872.9195474729762
0.34,872.9997565223982,872.9194804271929,872.9997565948905,872.9194804271906
0.35000000000000003,872.9997492672411,872.9194131224691,872.9997493397926,872.9194131224664
0.36,872.9997420061336,872.9193455121444,872.9997420787447,872.9193455121411
0.37,872.999734739042,872.9192775291798,872.9997348117129,872.9192775291755
0.38,872.9997274659142,872.9192090634366,872.9997275386455,872.9192090634309
0.39,872.9997201867054,872.9191399678111,872.9997202594975,872.9191399678035
0.4,872.9997129013384,872.9190700299023,872.9997129741921,872.919070029892
0.41000000000000003,872.9997056097035,872.9189989573388,872.9997056826198,872.9189989573249
0.42,872.9996983116694,872.9189263481612,872.9996983846497,872.9189263481425
0.43,872.9996910070462,872.9188516512285,872.9996910800924,872.9188516512029
0.44,872.999683695578,872.9187741153148,872.9996837686928,872.91877411528
0.45,872.9996763769177,872.9186927178607,872.9996764501043,872.9186927178134
0.46,872.999669050592,872.9186060713564,872.9996691238553,872.9186060712923
0.47000000000000003,872.9996617159595,872.9185122985822,872.9996617893058,872.9185122984952
0.48,872.9996543721533,872.9184088629868,872.9996544455913,872.918408862869
0.49,872.9996470179955,872.9182923443315,872.9996470915371,872.9182923441723
0.5,872.9996396518818,872.9181581390334,872.9996397255429,872.9181581388185
0.51,872.9996322716754,872.918000060078,872.9996323454775,872.9180000597885
0.52,872.9996248744706,872.9178098046025,872.9996249484426,872.9178098042128
0.53,872.9996174563754,872.917576245831,872.9996175305564,872.9175762453073
0.54,872.9996100121352,872.9172844911114,872.9996100865775,872.9172844904085
0.55,872.9996025347252,872.9169146310289,872.9996026094992,872.9169146300867
0.56,872.9995950147244,872.9164400782447,872.9995950899242,872.9164400769832
0.5700000000000001,872.999587439504,872.9158253630983,872.999587515256,872.9158253614113
0.58,872.9995797921717,872.9150232094443,872.9995798686448,872.9150232071906
0.59,872.9995720501979,872.9139706577458,872.9995721276174,872.9139706547383
