x, Tf, Ts , Tf* , Ts*
0.0,873.0,520.62876917655,872.9999999365102,520.6287690731691
0.01,872.9682551186279,520.6172824087367,872.9685725674391,520.6172823266076
0.02,872.9365089800128,520.5966701707174,872.9368264413953,520.5966701084186
0.03,872.9047609606712,520.5691358487201,872.9050784408599,520.569135803833
0.04,872.8730106114468,520.5366140718064,872.8733281149339,520.5366140412499
0.05,872.8412576266402,520.5006971308541,872.8415751564826,520.5006971112684
0.06,872.809501810414,520.4626040058419,872.8098193685703,520.4626039940437
0.07,872.7777430448933,520.4231999642514,872.7780606325425,520.4231999575768
0.08,872.7459812635009,520.3830543117526,872.7462988813087,520.3830543082071
0.09,872.7142164310022,520.3425147060188,872.7145340793211,520.3425147042506
0.1,872.6824485299516,520.3017786259662,872.682766208956,520.3017786251395
0.11,872.6506775523312,520.2609506865683,872.6509952621013,520.260950686208
0.12,872.6189034947929,520.2200827186374,872.6192212353621,520.2200827184939
0.13,872.5871263561628,520.1791988063605,872.587444127543,520.1791988063118
0.14,872.5553461362155,520.1383094749656,872.5556639384088,520.1383094749558
0.15,872.5235628351127,520.0974190619539,872.5238806681176,520.0974190619594
0.16,872.4917764531726,520.0565292574702,872.4920943169859,520.0565292574813
0.17,872.4599869907685,520.015640685705,872.4603048853863,520.015640685718
0.18,872.4281944482931,519.9747535658335,872.4285123737117,519.9747535658472
0.19,872.396398826145,519.9338679712695,872.3967167823603,519.9338679712835
0.2,872.3646001247267,519.89298392565,872.3649181117348,519.892983925664
0.21,872.332798344441,519.8521014366141,872.3331163622378,519.8521014366281
0.22,872.3009934856894,519.8112205065348,872.3013115342708,519.8112205065488
0.23,872.2691855488744,519.7703411364369,872.2695036282364,519.770341136451
0.24,872.2373745343989,519.7294633269712,872.2376926445376,519.7294633269853
0.25,872.2055604426657,519.6885870786222,872.2058785835769,519.6885870786363
0.26,872.1737432740783,519.6477123918406,872.1740614457581,519.6477123918547
0.27,872.1419230290388,519.6068392670693,872.1422412314831,519.6068392670834
0.28,872.1100997079502,519.5659677047868,872.110417941155,519.5659677048009
0.29,872.0782733112147,519.5250977054111,872.0785915751759,519.5250977054252
0.3,872.0464438392361,519.484229269408,872.0467621339498,519.4842292694221
0.31,872.0146112924174,519.4433623972465,872.0149296178795,519.4433623972606
0.32,871.9827756711605,519.402497089342,871.983094027367,519.4024970893561
0.33,871.9509369758698,519.3616333461557,871.9512553628166,519.3616333461698
0.34,871.9190952069486,519.3207711681409,871.9194136246316,519.320771168155
0.35000000000000003,871.8872503647996,519.2799105557533,871.8875688132149,519.2799105557674
0.36,871.855402449826,519.2390515094144,871.8557209289696,519.2390515094285
0.37,871.8235514624319,519.198194029602,871.8238699722997,519.198194029616
0.38,871.7916974030198,519.1573381167384,871.7920159436078,519.1573381167525
0.39,871.7598402719933,519.1164837712935,871.7601588432974,519.1164837713076
0.4,871.7279800697554,519.0756309937153,871.7282986717717,519.0756309937294
0.41000000000000003,871.6961167967106,519.0347797844585,871.6964354294349,519.0347797844726
0.42,871.6642504532628,518.9939301439506,871.664569116691,518.9939301439647
0.43,871.632381039814,518.953082072648,871.6326997339424,518.9530820726621
0.44,871.6005085567679,518.9122355710056,871.6008272815922,518.9122355710197
0.45,871.5686330045297,518.8713906394667,871.5689517600459,518.8713906394808
0.46,871.5367543835017,518.8305472784871,871.5370731697059,518.8305472785012
0.47000000000000003,871.5048726940879,518.7897054885012,871.5051915109759,518.7897054885153
0.48,871.4729879366929,518.7488652699617,871.4733067842607,518.7488652699758
0.49,871.4411001117205,518.7080266233128,871.4414189899641,518.7080266233269
0.5,871.4092092195765,518.6671895490416,871.4095281284918,518.6671895490558
0.51,871.3773152606603,518.626354047541,871.3776342002434,518.6263540475552
0.52,871.3454182353788,518.5855201192968,871.3457372056255,518.585520119311
0.53,871.3135181441352,518.5446877647289,871.3138371450415,518.5446877647431
0.54,871.2816149873346,518.5038569842936,871.2819340188964,518.5038569843078
0.55,871.2497087653807,518.4630277784728,871.2500278275941,518.463027778487
0.56,871.2177994786772,518.4222001476579,871.2181185715381,518.4222001476721
0.5700000000000001,871.1858871276297,518.381374092355,871.1862062511341,518.3813740923692
0.58,871.1539717126414,518.3405496129693,871.1542908667851,518.3405496129835
0.59,871.1220532341175,518.2997267099703,871.1223724188966,518.2997267099845
0.6,871.0901316924613,518.2589053838133,871.0904509078717,518.2589053838275
0.61,871.0582070880787,518.2180856349095,871.0585263341163,518.2180856349237
0.62,871.0262794213733,518.1772674637575,871.0265986980341,518.1772674637717
0.63,870.9943486927491,518.1364508707696,870.9946680000292,518.1364508707838
0.64,870.9624149026124,518.0956358563976,870.9627342405076,518.0956358564118
0.65,870.9304780513665,518.0548224210883,870.9307974198729,518.0548224211025
0.66,870.8985381394168,518.0140105652906,870.8988575385301,518.0140105653048
0.67,870.8665951671662,517.9732002894723,870.8669145968826,517.9732002894865
