x, Ts, Tf
0.0,293.0,873.0
0.001,299.2796927068314,297.966031663176
0.002,305.5507257842725,296.81820745694444
0.003,311.81075730495604,296.81577750037997
0.004,318.0562783661516,296.8155603191082
0.005,324.2838007196183,296.81527431109697
0.006,330.48986658716694,296.814915133571
0.007,336.6710560038212,296.8144830296767
0.008,342.82399400560956,296.81397829181844
0.009000000000000001,348.945357638579,296.813401252074
0.01,355.0318827620658,296.8127522815655
0.011,361.08037062042166,296.81203178976835
0.012,367.0876941588202,296.8112402237409
0.013000000000000001,373.05080406027344,296.81037806728267
0.014,378.9667344825929,296.8094458400205
0.015,384.8326084758402,296.80844409642634
0.016,390.6456430625986,296.8073734247733
0.017,396.40315396534453,296.8062344460304
0.018000000000000002,402.1025599672209,296.80502781270303
0.019,407.7413868944998,296.80375420762124
0.02,413.3172712111824,296.80241434268163
0.021,418.82796321820985,296.80100895754697
0.022,424.2713298519378,296.7995388183087
0.023,429.6453570785887,296.7980047161159
0.024,434.9481518834885,296.7964074657765
0.025,440.1779438559251,296.7947479043352
0.026000000000000002,445.3330863724877,296.7930268896321
0.027,450.4120573836121,296.7912452988488
0.028,455.4134598099751,296.78940402704495
0.029,460.3360215570781,296.78750398568815
0.03,465.17859515807726,296.78554610118675
0.031,469.94015705643113,296.78353131342465
0.032,474.61980654141826,296.7814605743059
0.033,479.21676435086243,296.7793348463103
0.034,483.7303709566304,296.7771551010678
0.035,488.16008454950924,296.77492231795105
0.036000000000000004,492.50547874101755,296.77263748269166
0.037,496.7662400004809,296.7703015860249
0.038,500.9421648463693,296.7679156223636
0.039,505.0331568114339,296.7654805885051
0.04,509.0392232015154,296.7629974823736
0.041,512.9604716682144,296.76046730180207
0.042,516.7971066156913,296.7578910433523
0.043000000000000003,520.5494254618656,296.75526970117863
0.044,524.21781477421,296.7526042659356
0.045,527.8027463000399,296.74989572373016
0.046,531.3047729108976,296.7471450551217
0.047,534.7245244801776,296.7443532341678
0.048,538.0627037126103,296.7415212275216
0.049,541.3200819436004,296.7386499935745
0.05,544.4974949257202,296.7357404816509
0.051000000000000004,547.5958386189045,296.7327936312517
0.052000000000000005,550.6160650000637,296.72981037134684
0.053,553.5591779069795,296.72679161971706
0.054,556.4262289304115,296.7237382823455
0.055,559.2183133674025,296.7206512528566
0.056,561.9365662478225,296.7175314120019
0.057,564.582158445176,296.7143796271954
0.058,567.1562928817094,296.71119675209064
0.059000000000000004,569.660200836853,296.707983626206
0.06,572.0951383670541,296.70474107459023
0.061,574.4623828440613,296.70146990753295
0.062,576.763229617734,296.69817092031315
0.063,578.998988808563,296.69484489298907
0.064,581.1709822341202,296.6914925902251
0.065,583.280540472805,296.6881147611532
0.066,585.3290000673932,296.6847121392712
0.067,587.3177008701024,296.68128544237356
0.068,589.2479835301126,296.67783537251046
0.069,591.1211871237581,296.67436261598147
0.07,592.9386469269688,296.6708678433506
0.07100000000000001,594.701692328869,296.6673517094946
0.07200000000000001,596.4116448848874,296.6638148536708
0.073,598.0698165072192,296.66025789960867
0.074,599.6775077899974,296.6566814556245
0.075,601.2360064660653,296.6530861147536
0.076,602.7465859919473,296.6494724549009
0.077,604.210504257181,296.64584103901166
0.078,605.6290024139761,296.64219241525126
0.079,607.0033038228655,296.6385271172024
0.08,608.3346131098223,296.6348456640765
